,13-Jan-2026
The Nifty witnessed an intraday movement of about 296.5 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 101636.97
, Traded Quantity (in Lakhs), 48038.86
, Number of Trades, 29941951
, Total Market Capitalisation (Rs. Crores), 46576776.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty Multi MQ 50,     40829.55,     40990.85,     41203.00,     40619.45,     40942.10,112.55
,Nifty500 Value 50,     15520.35,     15582.65,     15606.70,     15459.45,     15574.80,54.45
,Nifty Top 20 EW,      9584.20,      9626.85,      9633.70,      9515.40,      9567.10,-17.10
,Nifty CoreHousing,     15593.55,     15606.40,     15675.10,     15374.85,     15502.00,-91.55
,Nifty FinSerExBnk,     31630.05,     31696.55,     31843.95,     31330.50,     31594.40,-35.65
,Nifty Housing,     11764.55,     11796.40,     11797.80,     11614.30,     11699.45,-65.10
,Nifty IPO,      1981.30,      1990.30,      2000.15,      1977.90,      1987.60,6.30
,Nifty MS Fin Serv,     20638.30,     20737.45,     20822.45,     20406.65,     20614.50,-23.80
,Nifty MS Ind Cons,     18608.90,     18672.70,     18740.95,     18412.45,     18550.45,-58.45
,Nifty MS IT Telcm,     10181.95,     10211.35,     10270.00,     10113.65,     10196.35,14.40
,Nifty NonCyc Cons,     15714.25,     15755.90,     15832.30,     15577.20,     15673.65,-40.60
,Nifty Rural,     15981.80,     16020.70,     16045.80,     15837.15,     15934.60,-47.20
,Nifty Shariah 25,      8428.10,      8450.65,      8479.80,      8374.70,      8426.00,-2.10
,Nifty Trans Logis,     25572.30,     25702.40,     25781.85,     25353.80,     25560.20,-12.10
,Nifty50 Shariah,      4826.40,      4849.40,      4854.35,      4800.90,      4832.70,6.30
,Nifty500 LMS Eql,     17712.50,     17783.40,     17832.50,     17607.00,     17728.20,15.70
,Nifty500 Shariah,      7092.20,      7120.15,      7134.20,      7045.00,      7091.80,-0.40
,Nifty500 Qlty50,     18685.70,     18758.25,     18839.25,     18559.05,     18700.65,14.95
,Nifty500 LowVol50,     23025.80,     23067.80,     23127.40,     22857.75,     22999.45,-26.35
,Nifty500 MQVLv50,     31316.65,     31425.90,     31508.05,     31107.10,     31326.80,10.15
,Nifty500 Flexicap,     10575.95,     10617.55,     10654.20,     10505.30,     10566.50,-9.45
,Nifty TMMQ 50,     41288.35,     41453.20,     41630.95,     41045.25,     41387.20,98.85
,Nifty FPI 150,      1601.70,      1607.10,      1607.55,      1585.90,      1596.20,-5.50
,Nifty SME Emerge,     13612.25,     13644.50,     13721.40,     13592.65,     13629.10,16.85
,Nifty Internet,      1349.70,      1358.85,      1371.90,      1351.60,      1365.85,16.15
,Nifty Chemicals,     28684.45,     28774.25,     28927.10,     28604.10,     28764.45,80.00
,Nifty Waves,      2041.35,      2054.70,      2067.70,      2034.45,      2040.20,-1.15
,Nifty InfraLog,     11112.25,     11137.35,     11159.70,     10939.35,     11028.90,-83.35
,Nifty500 Health,     18608.00,     18640.35,     18669.40,     18431.15,     18594.55,-13.45
,India VIX,11.3675,11.3675,11.6800,10.6375,11.1975,-0.1700

,ADVANCES,1716
,DECLINES,1675
,UNCHANGED,120

,Total securities that have hit their price bands today,150

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,SILVERBEES,EQ,       243.35,       249.51,2.53,3046.28
,HDFCBANK,EQ,       936.95,       937.35,0.04,3012.90
,ICICIBANK,EQ,      1413.10,      1437.00,1.69,2048.23
,RELIANCE,EQ,      1483.20,      1452.80,-2.05,1967.81
,LT,EQ,      4019.00,      3887.40,-3.27,1939.73
,BSE,EQ,      2790.60,      2832.00,1.48,1896.10
,TCS,EQ,      3239.60,      3268.00,0.88,1835.55
,HINDCOPPER,EQ,       545.70,       539.45,-1.15,1632.18
,BHARTIARTL,EQ,      2044.00,      2026.90,-0.84,1498.12
,ETERNAL,EQ,       285.25,       294.55,3.26,1476.16
,DIXON,EQ,     11842.00,     11238.00,-5.10,1405.39
,INFY,EQ,      1595.90,      1599.00,0.19,1289.05
,HCLTECH,EQ,      1667.60,      1665.00,-0.16,1184.92
,IDEA,EQ,        11.25,        10.80,-4.00,1148.75
,SBIN,EQ,      1015.15,      1028.45,1.31,1129.45
,VEDL,EQ,       627.35,       637.20,1.57,1128.97
,IFCI,EQ,        56.43,        57.67,2.20,1075.35
,ITC,EQ,       338.40,       334.70,-1.09,835.75
,KIRIINDUS,EQ,       486.65,       536.25,10.19,825.68
,BALAMINES,EQ,      1100.90,      1225.80,11.35,698.98
,GOLDBEES,EQ,       116.76,       116.37,-0.33,695.39
,GARUDA,EQ,       165.07,       194.70,17.95,661.69
,AXISBANK,EQ,      1274.20,      1262.00,-0.96,653.21
,TRENT,EQ,      4056.40,      3921.90,-3.32,648.45
,MCX,EQ,      2235.00,      2293.00,2.60,641.69

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       243.78,       235.71,3.42
,ETERNAL,EQ,       294.55,       285.25,3.26
,TECHM,EQ,      1614.80,      1586.10,1.81
,HINDALCO,EQ,       936.30,       920.15,1.76
,ICICIBANK,EQ,      1437.00,      1413.10,1.69

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TRENT,EQ,      3921.90,      4056.40,-3.32
,LT,EQ,      3887.40,      4019.00,-3.27
,RELIANCE,EQ,      1452.80,      1483.20,-2.05
,DRREDDY,EQ,      1191.30,      1215.50,-1.99
,INDIGO,EQ,      4759.50,      4850.00,-1.87

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,0MOFSL27,N3,      1150.00,                     5750.00,5
,1003IIFL29,NC,      1006.00,                    11066.00,11
,1003ISFL28,N4,      1006.23,                   211343.20,210
,1003SCL30A,NV,       722.99,                   112521.15,155
,1015ECL29,NR,      1015.50,                   154527.50,152
,1015SCL30,N1,      1030.00,                    10300.00,10
,1015UCL27,NF,       991.50,                    19838.50,20
,1025SCL34,Z8,       980.00,                    73500.00,75
,1025SCL34A,ZT,      1000.00,                    56000.00,56
,1025SCL34Z,N1,      1000.00,                    59711.40,61
,1025UCL26A,N1,      1006.00,                     5030.00,5
,1030SFIL28,NM,       675.80,                    35817.40,53
,1035UCL26,NA,       216.00,                      216.00,1
,1040UCL27B,N1,      1010.00,                    65650.00,65
,1050ISFL28,N5,      1002.00,                    40080.00,40
,1050NFL26,N7,       997.70,                   342034.00,344
,105IIFL29,N7,      1080.00,                   915160.00,848
,1060ECL29,NS,      1012.99,                   246353.05,238
,1065NFL27,NC,       996.51,                   239831.45,240
,1075WCA28,N0,      9500.00,                    47500.00,5
,10CAGL27,N5,      1025.90,                    45983.00,45
,10IIFL28,N4,      1020.10,                   255119.74,250
,10IIFL28A,NE,      1070.00,                   507190.00,474
,10IIFL29,N6,      1025.00,                    10250.00,10
,10NIDO26,N6,      1039.05,                    10390.70,10
,1102NFL26,N8,      1050.00,                     2108.80,2
,125VCCL31,N0,     96000.00,                  1440000.00,15
,12AFIL27,N0,      9800.00,                   842750.00,86
,12AFIL27A,N0,      9804.00,                   177131.00,18
,12VCCL27,N0,     98382.09,                   983820.90,10
,12VCCL29B,N0,     99000.00,                   594000.00,6
,182D090726,TB,        97.15,                   971500.00,10000
,20MICRONS,EQ,       190.64,                 19291840.68,100472
,21STCENMGM,EQ,        45.20,                    55177.83,1214
,360ONE,EQ,      1136.80,                833582779.00,732421
,3IINFOLTD,EQ,        15.14,                  7566167.32,493186
,3MINDIA,EQ,     34995.00,                186096280.00,5361
,3PLAND,EQ,        37.51,                   258377.49,6852
,563GS2026,GS,       101.12,                    43484.60,430
,579GS2030,GS,        99.30,                   180428.10,1817
,5PAISA,EQ,       356.65,                 50379521.50,139496
,601GS2030,GS,       101.55,                      304.65,3
,610GS2031,GS,        96.60,                       96.60,1
,622GS2035,GS,        97.02,                    19439.25,200
,628GS2032,GS,        97.55,                     9755.00,100
,633GS2035,GS,        99.31,                   218501.60,2200
,63MOONS,EQ,       694.75,                236335582.65,350810
,648GS2035,GS,        99.98,                   447679.11,4449
,654GS2032,GS,       102.77,                 51390824.24,500051
,667GS2035,GS,       100.10,                   103237.21,1031
,667GS2050,GS,        92.70,                  3148282.60,33968
,668GS2040,GS,        96.75,                  2887073.87,29831
,675GS2029,GS,       102.40,                   597299.20,5833
,676GS2061,GS,        94.40,                   711826.00,7561
,679GS2034A,GS,        96.04,                     9604.00,100
,68GS2060,GS,        93.17,                     6098.00,65
,690GS2065,GS,        95.10,                   378509.21,3970
,695GS2061,GS,        94.30,                   108543.40,1151
,699GS2051,GS,        96.69,                   965501.04,10051
,702GS2027,GS,       101.80,                    20360.00,200
,704GS2029,GS,       102.40,                    30722.00,300
,709GS2054,GS,       100.10,                  3659155.50,36555
,709GS2074,GS,        96.92,                  2157440.55,22276
,710GS2029,GS,       104.07,                   203567.55,1955
,718GS2033,GS,       106.00,                    64660.00,610
,718GS2037,GS,       105.56,                  1548215.00,14650
,723GS2039,GS,       102.65,                    10265.00,100
,724GS2055,GS,       101.85,                   326005.85,3202
,725GS2063,GS,        98.60,                  4570386.82,46334
,726GS2032,GS,       105.90,                      105.90,1
,729IRFC26,NN,      1024.75,                   164986.00,161
,732GS2030,GS,       105.80,                   352735.00,3350
,733GS2026,GS,       102.75,                   664374.25,6467
,734GS2064,GS,       100.84,                 63426594.25,629791
,737GR2054,GS,       102.84,                      102.84,1
,737GS2028,GS,       104.56,                   146279.44,1399
,737NTPC35C,NA,      1365.00,                    35490.00,26
,738GS2027,GS,       102.71,                 17032707.61,165901
,739NHAI31A,ND,      1196.00,                    47840.00,40
,739UK30,SG,        97.76,                     9776.00,100
,73GS2053,GS,       100.00,                  1847650.00,18475
,741GS2036,GS,       104.11,                  1273326.81,12124
,746GS2073,GS,       101.20,                    45540.00,450
,74GJ26,SG,       100.00,                    10000.00,100
,74GS2062,GS,       101.99,                   312427.54,3063
,753IRFC30,NJ,      1103.28,                  1277188.45,1158
,753NTPC30E,NC,      1100.11,                    26402.64,24
,754GS2036,GS,       106.30,                 60040191.27,564939
,760PFCL35,N3,      1182.20,                   491722.00,416
,762NTPC35F,ND,      1186.00,                   188574.01,159
,763GS2059,GS,       107.95,                      107.95,1
,764HUDCO31,N8,      1175.00,                     1175.00,1
,764IRFC31,NO,      1116.50,                     5582.50,5
,764NABAR31,N2,      1152.10,                    52992.61,46
,769HUDCO31,N9,      1100.00,                    66000.00,60
,769NHAI31,NE,      1118.20,                   439873.80,394
,76NHAI31,NA,      1150.11,                   406071.64,353
,771KA36,SG,        97.51,                     9751.00,100
,774IREDA31,N7,      1095.00,                   397800.43,363
,79NHIT35,N1,       312.50,                   781000.00,2500
,810IRFC27,N2,      1049.90,                  3643616.66,3486
,820IIFL27,N9,       987.66,                   396024.81,401
,824GS2027,GS,       106.46,                    35417.00,330
,828GS2027,GS,       138.80,                      138.80,1
,82HUDCO27,N2,      1115.00,                   100350.00,90
,82IGT31,NJ,      1074.97,                   454713.75,423
,830NHAI27,N2,      1051.40,                 11977091.20,11399
,830PFCL27,N5,      1051.89,                   632106.67,603
,83GS2042,GS,       115.00,                      115.00,1
,842IIFL26,NL,       993.00,                     6951.00,7
,843IHFL29,NC,       973.32,                   144280.71,150
,846REC28,N6,      1088.59,                  1683322.95,1555
,848AEL29,NJ,      1000.18,                  1420081.45,1416
,84TCHF28,NA,      1015.00,                    54791.00,54
,850CIFCL26,NE,      1000.00,                   130511.00,131
,850IIFL27,NA,       989.80,                   637520.60,647
,85IFL26,NX,      1034.80,                   362180.00,350
,860AEL28,NH,       999.97,                  1195149.26,1197
,862AEL31,NM,       999.10,                  9078748.20,9078
,863NHB29,N2,      5422.06,                  3419140.00,632
,865IFL28,NZ,       983.97,                  2066347.00,2100
,865IIFL28,NS,       983.95,                   512344.24,520
,865IRFC29,NA,      1168.99,                   187073.50,160
,865LTF26,NN,      1011.27,                   166903.00,165
,865SCL27,N4,       990.00,                   259063.00,262
,865TCAPS27,N8,      1059.00,                   137977.50,132
,866IIFC34B,N3,      1197.80,                   239560.00,200
,867NHPC33,N3,      1300.00,                    13000.00,10
,871REC28,N9,      1092.00,                   546978.05,501
,873NTPC28,N5,      1099.99,                    10999.90,10
,875AEL29,NK,       998.19,                 17648486.38,17712
,875NHAI29,N6,      1170.92,                 11950410.59,10193
,875SFL27,ZF,      1095.00,                     8760.00,8
,876HUDCO28,ND,      1105.34,                   525839.50,475
,879NHPC28,N5,      1198.99,                     3596.97,3
,87LTF27,NH,      1031.00,                    51559.00,50
,880IREDA29,N5,      1170.10,                   106806.10,91
,883GS2041,GS,       115.50,                     2887.50,25
,885AEL28,NB,      1020.00,                     9180.00,9
,885MOFSL26,N0,      1040.00,                    15650.50,15
,886REC34,NG,      1235.00,                     6175.00,5
,888ECL28,N1,       970.04,                    58264.50,60
,888IRFC29,NE,      1165.00,                   101381.00,87
,888NHB29,N5,      5642.00,                    28210.00,5
,890AEL31,NN,       997.62,                 33407541.17,33439
,891IIFCL34,N4,      1220.10,                   300384.00,245
,891NTPC33,N6,      1225.52,                  3176765.50,2587
,892PFCL33,N8,      1236.00,                   328632.55,266
,894SCL27,ZY,       600.00,                    37600.00,63
,895AEL27,N9,      1036.00,                     5180.00,5
,897GS2030,GS,       113.00,                   226000.00,2000
,897MOFSL29,N4,      1014.00,                   624010.25,616
,898LTF29,N7,      1080.00,                   178765.00,165
